Zlecenie;RelatedPO;R Order No;Start Date;Time;Status;POStatus;Center;Target Qty.;UOM;Product;Container;Quant;Location;LotNo;Expire
;;000106718;;0:14;;;;;;33.B34P;6000264606160039P2-552482933.B34PB;264.6;P2_D_020;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000058801370040P2-552482933.B34PB;264.6;P2_D_004;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000254805930041P2-552482933.B34PB;264.6;P2_E_030;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160042P2-552482933.B34PB;264.6;P2_E_030;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160043P2-552482933.B34PB;264.6;P2_D_020;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160044P2-552482933.B34PB;264.6;P2_D_043;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160045P2-552482933.B34PB;264.6;P2_A_198;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160046P2-552482933.B34PB;264.6;P2_D_026;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160047P2-552482933.B34PB;264.6;P2_D_026;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160048P2-552482933.B34PB;264.6;P2_D_036;P2-5524829;16.06.2026
;;000106718;;0:14;;;;;;33.B34P;6000264606160049P2-552482933.B34PB;264.6;P2_D_043;P2-5524829;16.06.2026
Komerc;103407858;000106720;25.02.2026 00:41:48;0:09;New;Started;SH42-R;918.2;TH;34.C3JT;6000127503060029P2-552596934.C3JTB;214.2;BrandC_SH42_L;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140030P2-552596934.C3JTB;214.2;P2_E_035;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140032P2-552596934.C3JTB;214.2;BrandC_SH42_R;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140033P2-552596934.C3JTB;214.2;P2_D_046;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140034P2-552596934.C3JTB;214.2;P2_D_031;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140036P2-552596934.C3JTB;214.2;P2_D_005;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140037P2-552596934.C3JTB;214.2;P2_D_005;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140038P2-552596934.C3JTB;214.2;P2_D_005;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140039P2-552596934.C3JTB;214.2;P2_D_017;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140040P2-552596934.C3JTB;214.2;P2_D_017;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140041P2-552596934.C3JTB;214.2;P2_E_047;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140042P2-552596934.C3JTB;214.2;P2_E_047;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140043P2-552596934.C3JTB;214.2;P2_F_028;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140044P2-552596934.C3JTB;214.2;P2_F_028;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140045P2-552596934.C3JTB;214.2;P2_D_031;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000132603180048P2-552596934.C3JTB;214.2;P2_D_046;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140049P2-552596934.C3JTB;214.2;P2_D_057;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140050P2-552596934.C3JTB;214.2;P2_D_057;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140051P2-552596934.C3JTB;214.2;P2_F_017;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140052P2-552596934.C3JTB;214.2;P2_F_030;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140053P2-552596934.C3JTB;214.2;P2_F_030;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140064P2-552596934.C3JTB;214.2;P2_F_020;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000071401710065P2-552596934.C3JTB;214.2;P2_F_039;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140066P2-552596934.C3JTB;214.2;P2_F_039;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140067P2-552596934.C3JTB;214.2;P2_F_022;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140068P2-552596934.C3JTB;214.2;P2_F_022;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140069P2-552596934.C3JTB;214.2;P2_F_017;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140070P2-552596934.C3JTB;214.2;P2_E_009;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140072P2-552596934.C3JTB;214.2;P2_D_049;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140073P2-552596934.C3JTB;214.2;P2_E_009;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140074P2-552596934.C3JTB;214.2;P2_F_042;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140075P2-552596934.C3JTB;214.2;P2_F_042;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140076P2-552596934.C3JTB;214.2;P2_D_039;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140078P2-552596934.C3JTB;214.2;P2_D_049;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140080P2-552596934.C3JTB;214.2;P2_F_027;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140081P2-552596934.C3JTB;214.2;P2_D_039;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000076501840082P2-552596934.C3JTB;214.2;P2_F_040;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140083P2-552596934.C3JTB;214.2;P2_F_040;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140084P2-552596934.C3JTB;214.2;P2_F_027;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140085P2-552596934.C3JTB;214.2;P2_F_044;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140086P2-552596934.C3JTB;214.2;P2_F_044;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140089P2-552596934.C3JTB;214.2;P2_D_032;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140090P2-552596934.C3JTB;214.2;P2_F_032;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140091P2-552596934.C3JTB;214.2;P2_E_026;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140092P2-552596934.C3JTB;214.2;P2_E_026;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140093P2-552596934.C3JTB;214.2;P2_E_019;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000214205140094P2-552596934.C3JTB;214.2;P2_E_019;P2-5525969;15.08.2026
;;000106720;;0:09;;;;;;34.C3JT;6000137703300096P2-552596934.C3JTB;137.7;P2_D_032;P2-5525969;15.08.2026
